campus,program_id,program_name,place_type,filename,url
Москва,36634423461,Когнитивные науки и технологии: от нейрона к познанию,Commercial,36634423461_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634423461_Commercial.xlsx
Москва,36634890974,Коммуникации в государственных структурах и НКО,Budget,36634890974_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634890974_Budget.xlsx
Москва,36634890974,Коммуникации в государственных структурах и НКО,Commercial,36634890974_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634890974_Commercial.xlsx
Москва,36634656654,Коммуникационный и цифровой дизайн,Commercial,36634656654_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634656654_Commercial.xlsx
Москва,36634809101,Комплаенс и профилактика правовых рисков,Budget,36634809101_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634809101_Budget.xlsx
Москва,36634809101,Комплаенс и профилактика правовых рисков,Commercial,36634809101_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634809101_Commercial.xlsx
Москва,36634680809,Комплексный социальный анализ,Budget,36634680809_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634680809_Budget.xlsx
Москва,36634680809,Комплексный социальный анализ,Commercial,36634680809_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634680809_Commercial.xlsx
Москва,36634481602,Компьютерная лингвистика,Budget,36634481602_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634481602_Budget.xlsx
Москва,36634481602,Компьютерная лингвистика,Commercial,36634481602_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634481602_Commercial.xlsx
Москва,36634128988,Компьютерные системы и сети,Budget,36634128988_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634128988_Budget.xlsx
Москва,36634128988,Компьютерные системы и сети,Commercial,36634128988_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634128988_Commercial.xlsx
Москва,36634829009,Корпоративные финансы,Commercial,36634829009_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634829009_Commercial.xlsx
Москва,36634647712,Культурные исследования,Budget,36634647712_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634647712_Budget.xlsx
Москва,36634647712,Культурные исследования,Commercial,36634647712_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634647712_Commercial.xlsx
Москва,36634166805,ЛигалТех,Commercial,36634166805_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634166805_Commercial.xlsx
Москва,36634479650,Литературное мастерство,Budget,36634479650_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634479650_Budget.xlsx
Москва,36634479650,Литературное мастерство,Commercial,36634479650_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634479650_Commercial.xlsx
Москва,36634826816,Магистр аналитики бизнеса,Commercial,36634826816_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634826816_Commercial.xlsx
Москва,36634444313,Маркетинг - менеджмент,Commercial,36634444313_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634444313_Commercial.xlsx
