program_id,program_name,campus,n_applications_budget,n_serious_budget,n_applications_commercial,n_serious_commercial,n_unique_applicants_total,n_applications_total,budget_places,commercial_places,competition_ratio_budget,demand_pressure_budget,no_budget_places,competition_ratio_commercial,no_commercial_places,n_p1_budget,desirability,low_data
36704611554,Стратегическое управление логистикой и цепями поставок,НИУ ВШЭ - Санкт-Петербург,24,14,3,2,24,27,25,10,0.96,0.56,False,0.3,False,11,0.435880388124698,False
36704611878,Менеджмент в индустрии впечатлений,НИУ ВШЭ - Санкт-Петербург,38,27,10,9,38,48,25,25,1.52,1.08,False,0.4,False,22,0.5384686436357798,False
36704612152,Современный социальный анализ,НИУ ВШЭ - Санкт-Петербург,18,14,4,3,18,22,25,10,0.72,0.56,False,0.4,False,11,0.5301550851662765,False
36704612429,Право интеллектуальной собственности в цифровую эпоху,НИУ ВШЭ - Санкт-Петербург,39,27,12,10,39,51,17,25,2.2941176470588234,1.588235294117647,False,0.48,False,18,0.44535482193511056,False
36704612749,Гражданское и коммерческое право,НИУ ВШЭ - Санкт-Петербург,54,41,22,19,56,76,16,20,3.375,2.5625,False,1.1,False,26,0.4660585436101144,False
36704613009,Право и государственное управление,НИУ ВШЭ - Санкт-Петербург,33,22,12,10,34,45,17,20,1.9411764705882353,1.2941176470588236,False,0.6,False,10,0.3207002620094774,False
36704613610,Медиапроизводство и медиааналитика,НИУ ВШЭ - Санкт-Петербург,40,34,13,13,40,53,14,25,2.857142857142857,2.4285714285714284,False,0.52,False,27,0.617338309605768,False
36704613901,Языковые технологии в бизнесе и образовании,НИУ ВШЭ - Санкт-Петербург,23,21,4,2,24,27,10,20,2.3,2.1,False,0.2,False,13,0.5102786688081711,False
36704614230,Русская литература в кросс-культурной и интермедиальной перспективах,НИУ ВШЭ - Санкт-Петербург,21,16,5,4,21,26,15,10,1.4,1.0666666666666667,False,0.5,False,13,0.5434771508092424,False
36704614570,Глобальная и региональная история,НИУ ВШЭ - Санкт-Петербург,12,10,2,2,12,14,10,10,1.2,1.0,False,0.2,False,8,0.5384771406604338,False
36704614836,Дизайн,НИУ ВШЭ - Санкт-Петербург,34,30,10,8,35,44,7,100,4.857142857142857,4.285714285714286,False,0.1,False,21,0.5648482953979119,False
36704615026,Кросс-культурные исследования Азии и Африки в контексте международных отношений,НИУ ВШЭ - Санкт-Петербург,16,10,4,3,16,20,15,10,1.0666666666666667,0.6666666666666666,False,0.4,False,8,0.45480123454910054,False
36704615400,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,11,6,0,0,11,11,10,10,1.1,0.6,False,0.0,False,1,0.22694459345506407,False
36704615682,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,10,6,4,1,11,14,10,10,1.0,0.6,False,0.4,False,2,0.2890964270481594,False
36704621942,Экономика и бизнес-консалтинг,НИУ ВШЭ - Санкт-Петербург,50,37,19,16,50,69,25,20,2.0,1.48,False,0.95,False,23,0.44704707375318853,False
